rowid,SiteName,Province_y,Ecoregion,Type,Latitude,Longitude,Year,Date,Phylum,Class,Order,Family,Genus,Species,Count,EPT_index,EPT_to_Total_Ratio,EPT_Class,SamplingDevice,StreamOrder,Velocity-Avg,Depth-Avg,General-Conductivity,Chl-a,General-DO,General-TempWater,General-Turbidity,General-pH,Nitrogen-TN,Phosphorus-TP,As,Se
2216,St. Lawrence River,ON,Frontenac Axis,River,44.40583333,-75.89702778,2006,10/25/2006,Arthropoda,Malacostraca,Isopoda,Asellidae,Caecidotea,,2,0.0256,2.5604,Poor,Mini-Box Core,,,,219,,11.64,9.43,,8.6,8480,0.0068,0.5,
2217,St. Lawrence River,ON,Frontenac Axis,River,44.40583333,-75.89702778,2006,10/25/2006,Arthropoda,Malacostraca,Isopoda,Asellidae,Caecidotea,,3,0.0256,2.5604,Poor,Mini-Box Core,,,,219,,11.64,9.43,,8.6,8480,0.0068,0.5,
2218,St. Lawrence River,ON,Frontenac Axis,River,44.40583333,-75.89702778,2006,10/25/2006,Arthropoda,Malacostraca,Isopoda,Asellidae,Caecidotea,,1,0.0256,2.5604,Poor,Mini-Box Core,,,,219,,11.64,9.43,,8.6,8480,0.0068,0.5,
2219,St. Lawrence River,ON,Frontenac Axis,River,44.40583333,-75.89702778,2006,10/25/2006,Arthropoda,Malacostraca,Isopoda,Asellidae,Caecidotea,,4,0.0256,2.5604,Poor,Mini-Box Core,,,,219,,11.64,9.43,,8.6,8480,0.0068,0.5,
2220,St. Lawrence River,ON,Frontenac Axis,River,44.40583333,-75.89702778,2006,10/25/2006,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,5,0.0256,2.5604,Poor,Mini-Box Core,,,,219,,11.64,9.43,,8.6,8480,0.0068,0.5,
2221,St. Lawrence River,ON,Frontenac Axis,River,44.40583333,-75.89702778,2006,10/25/2006,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,2,0.0256,2.5604,Poor,Mini-Box Core,,,,219,,11.64,9.43,,8.6,8480,0.0068,0.5,
2222,St. Lawrence River,ON,Frontenac Axis,River,44.40583333,-75.89702778,2006,10/25/2006,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,5,0.0256,2.5604,Poor,Mini-Box Core,,,,219,,11.64,9.43,,8.6,8480,0.0068,0.5,
2223,St. Lawrence River,ON,Frontenac Axis,River,44.40583333,-75.89702778,2006,10/25/2006,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,1,0.0256,2.5604,Poor,Mini-Box Core,,,,219,,11.64,9.43,,8.6,8480,0.0068,0.5,
2224,St. Lawrence River,ON,Frontenac Axis,River,44.40583333,-75.89702778,2006,10/25/2006,Arthropoda,Ostracoda,,,,,1,0.0256,2.5604,Poor,Mini-Box Core,,,,219,,11.64,9.43,,8.6,8480,0.0068,0.5,
2225,St. Lawrence River,ON,Frontenac Axis,River,44.40583333,-75.89702778,2006,10/25/2006,Nemertea,Enopla,Hoplonemertea,Tetrastemmatidae,Prostoma,,1,0.0256,2.5604,Poor,Mini-Box Core,,,,219,,11.64,9.43,,8.6,8480,0.0068,0.5,
2226,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Chironomidae,Labrundinia,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2227,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,Microtendipes pedellus,2,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2228,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Chironomidae,Parachironomus,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2229,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus,,12,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2230,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,,2,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2231,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,,7,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2232,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum trigonum,2,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2233,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2234,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,,2,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2235,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2236,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,,2,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2237,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Chironomidae,Tribelos,Tribelos jucundus,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2238,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Chironomidae,Tribelos,Tribelos jucundus,2,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2239,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Chironomidae,Tribelos,Tribelos jucundus,4,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2240,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Chironomidae,Zavreliella,Zavreliella marmorata,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2241,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Ceratopogonidae,Probezzia,,3,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2242,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Ceratopogonidae,Probezzia,,2,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2243,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Ceratopogonidae,Sphaeromias,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2244,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Ceratopogonidae,Sphaeromias,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2245,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Diptera,Ceratopogonidae,Sphaeromias,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2246,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Trichoptera,Leptoceridae,Leptocerus,Leptocerus americanus,2,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2247,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Trichoptera,Leptoceridae,Leptocerus,Leptocerus americanus,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2248,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Insecta,Trichoptera,Leptoceridae,Triaenodes,Triaenodes injustus,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2249,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Gastropoda,Basommatophora,Planorbidae,Gyraulus,Gyraulus deflectus,3,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2250,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Gastropoda,Basommatophora,Planorbidae,Gyraulus,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2251,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Gastropoda,Neotaenioglossa,Hydrobiidae,,,15,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2252,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Gastropoda,Neotaenioglossa,Hydrobiidae,,,6,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2253,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Gastropoda,Neotaenioglossa,Hydrobiidae,,,7,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2254,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Gastropoda,Neotaenioglossa,Hydrobiidae,,,58,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2255,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Gastropoda,Neotaenioglossa,Hydrobiidae,,,4,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2256,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Gastropoda,Basommatophora,Ancylidae,Laevapex,Laevapex fuscus,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2257,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Gastropoda,Basommatophora,Ancylidae,Laevapex,Laevapex fuscus,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2258,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Gastropoda,Basommatophora,Planorbidae,,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2259,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Gastropoda,Heterostropha,Valvatidae,Valvata,Valvata piscinalis,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2260,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Gastropoda,Heterostropha,Valvatidae,Valvata,Valvata tricarinata,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2261,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Gastropoda,Heterostropha,Valvatidae,Valvata,Valvata tricarinata,2,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2262,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Bivalvia,Veneroida,Dreissenidae,Dreissena,Dreissena bugensis,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2263,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Bivalvia,Veneroida,Dreissenidae,Dreissena,Dreissena bugensis,4,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2264,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Bivalvia,Veneroida,Dreissenidae,Dreissena,Dreissena bugensis,2,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2265,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Bivalvia,Veneroida,Dreissenidae,Dreissena,Dreissena polymorpha,2,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2266,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Bivalvia,Veneroida,Dreissenidae,Dreissena,Dreissena polymorpha,4,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2267,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Bivalvia,Veneroida,Dreissenidae,Dreissena,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2268,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Mollusca,Bivalvia,Veneroida,Pisidiidae,Pisidium,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2269,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,Aulodrilus pigueti,3,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2270,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Annelida,Clitellata,Hirudinida,Erpobdellidae,,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2271,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Annelida,Clitellata,Hirudinida,Erpobdellidae,,,4,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2272,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Annelida,Clitellata,Tubificida,Naididae,Quistadrilus,Quistadrilus multisetosus,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2273,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Annelida,Clitellata,Tubificida,Naididae,Stylaria,Stylaria lacustris,2,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2274,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Annelida,Clitellata,Tubificida,Naididae,Immatures with cheatal hairs,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2275,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Annelida,Clitellata,Tubificida,Naididae,Immatures without cheatal hairs,,6,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2276,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Annelida,Clitellata,Tubificida,Naididae,Immatures without cheatal hairs,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2277,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Annelida,Clitellata,Tubificida,Naididae,Immatures without cheatal hairs,,2,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2278,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Annelida,Clitellata,Tubificida,Naididae,Immatures without cheatal hairs,,3,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2279,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Arachnida,Trombidiformes,Arrenuridae,Arrenurus,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2280,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Arachnida,Trombidiformes,Limnesiidae,Limnesia,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2281,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Malacostraca,Isopoda,Asellidae,Caecidotea,Caecidotea racovitzai,2,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2282,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Malacostraca,Isopoda,Asellidae,Caecidotea,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2283,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2284,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,3,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2285,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,5,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2286,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,20,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2287,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2288,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2289,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,,3,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2290,St. Lawrence River,ON,Manitoulin-Lake Simcoe,River,44.31805556,-76.21444444,2006,10/26/2006,Cnidaria,Hydrozoa,Anthoathecatae,Hydridae,Hydra,,1,0.0823,8.2278,Poor,Mini-Box Core,,,,216,,10.6,8.41,,8.35,4190,0.0225,1,
2291,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Clinotanypus,,1,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2292,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Clinotanypus,,2,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2293,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Clinotanypus,,4,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2294,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Clinotanypus,,1,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2295,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Clinotanypus,,1,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2296,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Cryptochironomus,,1,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2297,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes,,2,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2298,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes,,3,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2299,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes,,2,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2300,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes,,1,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2301,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,Microtendipes pedellus,2,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2302,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,Microtendipes pedellus,13,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2303,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,Microtendipes pedellus,15,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2304,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,Microtendipes pedellus,3,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2305,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,Microtendipes pedellus,3,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2306,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Parachironomus,,1,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2307,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Paralauterborniella,Paralauterborniella nigrohalterale,1,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2308,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,,1,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
2309,St. Lawrence River,ON,Frontenac Axis,River,44.35666667,-76.01875,2006,10/25/2006,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum halterale,1,0.0256,2.5604,Poor,Mini-Box Core,,,,223,,10.19,10.67,,8.32,6700,0.011,0.5,
